Procedure,Risk,Acuity,Pathway
p-cast-application | p-gamma-knife,,,None
p-anal-dilation | p-anal-condyloma | p-anal-ablation | p-anal-skin-tag-excision | p-anal-manometry | p-anal-biopsy | p-anal-injection | p-perianal-skin-excision | p-anorectal-manometry | p-colonoscopy | p-esophagogastroduodenoscopy | p-endoscopy-other | p-exam-under-anesthesia,,,None
p-oocyte-retrieval | p-embryo-transfer | p-tubal-ligation-laparoscopic | p-tubal-ligation-hysteroscopic | p-salpingectomy-laparoscopic | p-salpingectomy-robotic | p-salpingectomy-endoscopic | p-endometrial-biopsy | p-endometriosis-robotic | p-endometriosis-laparoscopic | p-endometriosis-endoscopic | p-dilation-and-curettage | p-hysteroscopy | p-colposcopy,,,None
p-extraction-extra-capsular-cataract | p-extraction-extra-capsular-cataract-with-intraocular-lens-implant | p-extraction-intra-capsular-cataract | p-phacoemulsification-of-cataract-with-intraocular-lens-implant | p-phacoemulsification-of-cataract-with-intraocular-lens-implant-with-astigmatic-keratectomy,,,None
p-angiogram-femoral | p-angiogram-foot | p-angiogram-leg | p-angiogram-cerebral | p-angiogram-renal | p-angiogram-arm | p-angiogram-retina | p-angiogram-spinal | p-angiogram-upper-extremity | p-angiogram-thoracic-vessels | p-angiogram-carotid-vein | p-angiogram-carotid | p-angiogram-abdominal | p-venogram-renal | p-venogram-retina | p-venogram-spinal | p-venogram-upper-extremity | p-venogram-femoral | p-venogram-thoracic-vessels | p-venogram-abdominal | p-removal-central-venous-catheter,,,None
p-shock-wave-lithotripsy-renal | p-nephrostogram,,,None
p-microlaryngoscopy | p-laser-microlaryngoscopy | p-bronchoscopy | p-thyroid-biopsy,,,None
p-bariatric-other | p-gastric-resection | p-gastric-bypass,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-mastectomy | p-breast-biopsy | p-breast-lumpectomy | p-axillary-lymph-node-biopsy,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-insertion-pacemaker | p-implantation-defibrillator,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-cardiology-catheterization,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-coronary-artery-bypass-graft | p-heart-valve-replacement,,,CEFAZOLIN -> VANCOMYCIN
p-mechanical-circulatory-device-insertion,,,CEFAZOLIN AND VANCOMYCIN
p-colorectal-other | p-diverting-loop-ileostomy-construction | p-ileostomy-construction-other | p-ileostomy-closure | p-ileostomy-revision | p-colectomy | p-anal-fistula | p-hemorrhoidectomy | p-perirectal-abscess | p-rectovesical-fistula | p-colovaginal-fistula,,,CEFAZOLIN AND METRONIDAZOLE -> (CIPROFLOXACIN AND METRONIDAZOLE) OR (CIPROFLOXACIN AND CLINDAMYCIN)
p-soft-tissue-excision,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-ent-clean-other | p-head-neck-lymph-node-excision-biopsy-dissection | p-thyroidectomy | p-parathyroidectomy | p-tympanostomy | p-ent-with-implant | p-tympanoplasty | p-cochlear-implant,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
