Procedure,Risk,Acuity,Pathway
p-appendectomy,,,CEFAZOLIN AND METRONIDAZOLE -> VANCOMYCIN AND CIPROFLOXACIN AND METRONIDAZOLE -> VANCOMYCIN AND LEVOFLOXACIN AND METRONIDAZOLE
p-biliary-tract-open,,,CEFAZOLIN OR CEFOXITIN -> (VANCOMYCIN AND GENTAMICIN) OR (VANCOMYCIN AND AZTREONAM) OR (VANCOMYCIN AND CIPROFLOXACIN) -> (CLINDAMYCIN AND GENTAMICIN) OR (CLINDAMYCIN AND AZTREONAM)
p-billary-tract-open,,,(METRONIDAZOLE AND GENTAMICIN) OR (METRONIDAZOLE AND CIPROFLOXACIN) -> CLINDAMYCIN AND CIPROFLOXACIN
p-laparoscopic,,,None
p-laparoscopic,,,CEFAZOLIN OR CEFOXITIN -> (VANCOMYCIN AND GENTAMICIN) OR (VANCOMYCIN AND AZTREONAM) OR (VANCOMYCIN AND CIPROFLOXACIN) OR (METRONIDAZOLE AND GENTAMICIN) OR (METRONIDAZOLE AND CIPROFLOXACIN) -> (CLINDAMYCIN AND GENTAMICIN) OR (CLINDAMYCIN AND AZTREONAM) OR (CLINDAMYCIN AND CIPROFLOXACIN)
p-colorectal,,,(CEFAZOLIN AND METRONIDAZOLE) OR (CEFTRIAXONE AND METRONIDAZOLE) -> (CLINDAMYCIN AND GENTAMICIN) OR (CLINDAMYCIN AND AZTREONAM) OR (CLINDAMYCIN AND CIPROFLOXACIN) OR (METRONIDAZOLE AND GENTAMICIN) OR (METRONIDAZOLE AND CIPROFLOXACIN)
p-gastroduodenal,,,CEFAZOLIN -> (VANCOMYCIN AND GENTAMICIN) OR (VANCOMYCIN AND AZTREONAM) OR (VANCOMYCIN AND CIPROFLOXACIN) -> (CLINDAMYCIN AND GENTAMICIN) OR (CLINDAMYCIN AND AZTREONAM) OR (CLINDAMYCIN AND CIPROFLOXACIN)
p-small-intestine,,,CEFAZOLIN -> (CLINDAMYCIN AND GENTAMICIN) OR (CLINDAMYCIN AND AZTREONAM) OR (CLINDAMYCIN AND CIPROFLOXACIN)
p-small-intestine,,,CEFAZOLIN AND METRONIDAZOLE -> (METRONIDAZOLE AND CIPROFLOXACIN) OR (METRONIDAZOLE AND GENTAMICIN)
p-pt-cholangitis-therapy,,,None
