medication_identifier,medication_name,short_name,medication_pronunciation,medication_color_group,medication_components,primary_medication_category,medication_categories
g-acetaminophen,Acetaminophen,Acetaminophen,,,,ACETAMINOPHEN,ACETAMINOPHEN | NOT_ON_MED_LIST
m-acetaminophen-325-tablet,Acetaminophen 325 mg Tablet,Acetaminophen,acetaminophen,Miscellaneous White Label,,ACETAMINOPHEN,ACETAMINOPHEN
m-acetaminophen-500-tablet,Acetaminophen 500 mg Tablet,Acetaminophen,acetaminophen,Miscellaneous White Label,,ACETAMINOPHEN,ACETAMINOPHEN | NOT_ON_MED_LIST
m-acetaminophen-80-tablet,Acetaminophen 80 mg Tablet,Acetaminophen,acetaminophen,Miscellaneous White Label,,ACETAMINOPHEN,ACETAMINOPHEN
m-acetaminophen-iv,Acetaminophen IV,Acetaminophen,acetaminophen,Miscellaneous White Label,,ACETAMINOPHEN,ACETAMINOPHEN | INTRAVENOUS
m-acetaminophen-liquid,Acetaminophen Liquid,Acetaminophen,acetaminophen,Miscellaneous White Label,,ACETAMINOPHEN,ACETAMINOPHEN
m-acetaminophen-suppository,Acetaminophen Suppository,Acetaminophen,acetaminophen,Miscellaneous White Label,,ACETAMINOPHEN,ACETAMINOPHEN
g-acetaminophen-codeine,Acetaminophen-Codeine,Acetaminophen-Codeine,,,,ACETAMINOPHEN_CODEINE,ACETAMINOPHEN | CODEINE | NARCOTIC | NOT_ON_MED_LIST
m-adenosine,Adenosine,Adenosine,adenosine,Miscellaneous White Label,,ADENOSINE,ADENOSINE | INTRAVENOUS
m-albumin-human,Albumin Human,Albumin Human,albumin,Miscellaneous White Label,,ALBUMIN_HUMAN,ALBUMIN_HUMAN | INTRAVENOUS
g-albuterol,Albuterol,Albuterol,,,,ALBUTEROL,ALBUTEROL | NOT_ON_MED_LIST
m-albuterol-hfa-inhaler,Albuterol HFA Inhaler,Albuterol HFA Inhaler,albuterol,Miscellaneous White Label,,ALBUTEROL,ALBUTEROL
m-albuterol-nebulizer-solution,Albuterol Nebulizer Solution,Albuterol Nebulizer Solution,albuterol,Miscellaneous White Label,,ALBUTEROL,ALBUTEROL
m-amikacin,Amikacin,Amikacin,amikacin,Miscellaneous White Label,,AMIKACIN,AMIKACIN | ANTIBIOTIC | INTRAVENOUS | AMINOGLYCOSIDE
m-aminocaproic-acid,Aminocaproic Acid,Aminocaproic Acid,aminocaproic acid,Miscellaneous White Label,,AMINOCAPROIC_ACID,AMINOCAPROIC_ACID | INTRAVENOUS
m-amiodarone,AmioDARONE,AmioDARONE,amiodarone,Miscellaneous White Label,,AMIODARONE,AMIODARONE | INTRAVENOUS | QTC_PROLONGING
m-ampicillin,AMPicillin,AMPicillin,ampicillin,Miscellaneous White Label,,AMPICILLIN,AMPICILLIN | ANTIBIOTIC | PENICILLIN | INTRAVENOUS
g-ampicillin-gentamicin,AMPicillin-Gentamicin,AMPicillin-Gentamicin,,,m-ampicillin | m-gentamicin,AMPICILLIN_GENTAMICIN,AMPICILLIN | ANTIBIOTIC | PENICILLIN | GENTAMICIN | NOT_ON_MED_LIST |EXCLUDE_FROM_ANTIBIOTIC_CANDIDATE_EVAL | AMINOGLYCOSIDE
g-ampicillin-heparin,AMPicillin-Heparin,AMPicillin-Heparin,,,m-ampicillin | m-heparin,AMPICILLIN_HEPARIN,AMPICILLIN | ANTIBIOTIC | PENICILLIN | HEPARIN | NOT_ON_MED_LIST | EXCLUDE_FROM_ANTIBIOTIC_CANDIDATE_EVAL
m-ampicillin-sulbactamunasyn,AMPicillin-sulbactam(Unasyn),AMPicillin-sulbactam(Unasyn),ampicillin-sulbactam,Miscellaneous White Label,,AMPICILLIN_SULBACTAM,AMPICILLIN_SULBACTAM | ANTIBIOTIC | PENICILLIN | INTRAVENOUS
m-argatroban,Argatroban,Argatroban,argatroban,Anticoagulant,,ARGATROBAN,ARGATROBAN | INTRAVENOUS
m-atropine,Atropine,Atropine,atropine,Anticholinergic Agents,,ATROPINE,ATROPINE | INTRAVENOUS
g-azithromycin,Azithromycin,Azithromycin,,,,AZITHROMYCIN,AZITHROMYCIN | ANTIBIOTIC | NOT_ON_MED_LIST | QTC_PROLONGING
m-azithromycin-iv,Azithromycin IV,Azithromycin,azithromycin ,Miscellaneous White Label,,AZITHROMYCIN,AZITHROMYCIN | ANTIBIOTIC | INTRAVENOUS | QTC_PROLONGING
m-azithromycin-oral,Azithromycin Oral,Azithromycin,azithromycin ,Miscellaneous White Label,,AZITHROMYCIN,AZITHROMYCIN | ANTIBIOTIC | INTRAVENOUS | QTC_PROLONGING
m-aztreonam,Aztreonam,Aztreonam,Aztreonam,Miscellaneous White Label,,AZTREONAM,AZTREONAM | ANTIBIOTIC
m-bivalirudin,Bivalirudin,Bivalirudin,bivalirudin,Anticoagulant,,BIVALIRUDIN,BIVALIRUDIN | INTRAVENOUS
m-bupivacaine,Bupivacaine,Bupivacaine,bupivacaine,Local Anesthetics,,BUPIVACAINE,BUPIVACAINE | LOCAL_ANESTHETIC
g-bupivacaine,Bupivacaine,Bupivacaine,,,,BUPIVACAINE,BUPIVACAINE | LOCAL_ANESTHETIC | NOT_ON_MED_LIST
m-bupivacaine-pf-0.1,Bupivacaine (PF) 0.1%,Bupivacaine,bupivacaine  ,Local Anesthetics,,BUPIVACAINE,BUPIVACAINE | LOCAL_ANESTHETIC
m-bupivacaine-pf-0.25,Bupivacaine (PF) 0.25%,Bupivacaine,bupivacaine  ,Local Anesthetics,,BUPIVACAINE,BUPIVACAINE | LOCAL_ANESTHETIC
m-bupivacaine-pf-0.5,Bupivacaine (PF) 0.5%,Bupivacaine,bupivacaine  ,Local Anesthetics,,BUPIVACAINE,BUPIVACAINE | LOCAL_ANESTHETIC
m-bupivacaine-pf-0.75,Bupivacaine (PF) 0.75%,Bupivacaine,bupivacaine  ,Local Anesthetics,,BUPIVACAINE,BUPIVACAINE | LOCAL_ANESTHETIC
m-bupivacaine-dextrose,Bupivacaine-Dextrose,Bupivacaine-Dextrose,bupivacaine  ,Local Anesthetics,,BUPIVACAINE_DEXTROSE,BUPIVACAINE | LOCAL_ANESTHETIC
m-bupivacaine-0.1-clonidine,Bupivacaine-Clonidine,Bupivacaine-Clonidine,bupivacaine clonidine,Bupivacaine-Clonidine,g-bupivacaine | g-clonidine,BUPIVACAINE_CLONIDINE,BUPIVACAINE | LOCAL_ANESTHETIC | CLONIDINE | NARCOTIC
g-bupivacaine-clonidine,Bupivacaine-Clonidine,Bupivacaine-Clonidine,,,g-bupivacaine | g-clonidine,BUPIVACAINE_CLONIDINE,BUPIVACAINE | LOCAL_ANESTHETIC | CLONIDINE | NARCOTIC | NOT_ON_MED_LIST
m-bupivacaine-epinephrine-pf-0.25,Bupivacaine-EPINEPHrine (PF) 0.25%,Bupivacaine-EPINEPHrine,bupivacaine epinephrine,Local Anesthetics,,BUPIVACAINE_EPINEPHRINE,BUPIVACAINE_EPINEPHRINE | BUPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE
g-bupivacaine-epinephrine,Bupivacaine-EPINEPHrine,Bupivacaine-EPINEPHrine,,,,BUPIVACAINE_EPINEPHRINE,BUPIVACAINE_EPINEPHRINE | BUPIVACAINE | LOCAL_ANESTHETIC | NOT_ON_MED_LIST | EPINEPHRINE
m-bupivacaine-epinephrine-pf-0.5,Bupivacaine-EPINEPHrine (PF) 0.5%,Bupivacaine-EPINEPHrine,bupivacaine epinephrine,Local Anesthetics,,BUPIVACAINE_EPINEPHRINE,BUPIVACAINE_EPINEPHRINE | BUPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE
m-bupivacaine-epinephrine-pf-0.75,Bupivacaine-EPINEPHrine (PF) 0.75%,Bupivacaine-EPINEPHrine,bupivacaine epinephrine,Local Anesthetics,,BUPIVACAINE_EPINEPHRINE,BUPIVACAINE_EPINEPHRINE | BUPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE
m-bupivacaine-epinephrine-1-20,"Bupivacaine-EPINEPHrine 1:200,000",Bupivacaine-EPINEPHrine,,,,BUPIVACAINE_EPINEPHRINE,BUPIVACAINE_EPINEPHRINE | BUPIVACAINE | LOCAL_ANESTHETIC | EPINEPHRINE
m-calcium-chloride,Calcium Chloride,Calcium Chloride,calcium chloride,Miscellaneous White Label,,CALCIUM_CHLORIDE,CALCIUM_CHLORIDE | CALCIUM | INTRAVENOUS
m-calcium-gluconate,Calcium Gluconate,Calcium Gluconate,calcium gluconate,Miscellaneous White Label,,CALCIUM_GLUCONATE,CALCIUM_GLUCONATE | CALCIUM | INTRAVENOUS
m-cefazolin,CeFAZolin,CeFAZolin,cefazolin,Miscellaneous White Label,,CEFAZOLIN,CEFAZOLIN | ANTIBIOTIC | CEPHALOSPORIN | CEF GEN 1 | INTRAVENOUS
g-cefazolin-gentamicin,Cefazolin-Gentamicin,Cefazolin-Gentamicin,,,,CEFAZOLIN_GENTAMICIN,CEFAZOLIN | ANTIBIOTIC | CEPHALOSPORIN | CEF GEN 1 | INTRAVENOUS | GENTAMICIN | NOT_ON_MED_LIST | EXCLUDE_FROM_ANTIBIOTIC_CANDIDATE_EVAL | AMINOGLYCOSIDE
m-cefepime,CefePIME,CefePIME,cefepime,Miscellaneous White Label,,CEFEPIME,CEFEPIME | ANTIBIOTIC | CEPHALOSPORIN | CEF GEN 4 | INTRAVENOUS | PREOP_DEFAULT_DOSE_IV
m-cefotaxime,Cefotaxime,Cefotaxime,cefotaxime,Miscellaneous White Label,,CEFOTAXIME,CEFOTAXIME | ANTIBIOTIC | CEPHALOSPORIN | CEF GEN 3| INTRAVENOUS
m-cefoxitin,CefOXitin,CefOXitin,cefoxitin,Miscellaneous White Label,,CEFOXITIN,CEFOXITIN | ANTIBIOTIC | CEPHALOSPORIN | CEF GEN 2 | INTRAVENOUS
m-ceftaroline,Ceftaroline,Ceftaroline,sef taro leen,Miscellaneous White Label,,CEFTAROLINE,CEFTAROLINE | ANTIBIOTIC | CEPHALOSPORIN | CEF GEN 5 | INTRAVENOUS
m-ceftazidime,CefTAZidime,CefTAZidime,ceftazidime,Miscellaneous White Label,,CEFTAZIDIME,CEFTAZIDIME | ANTIBIOTIC | CEPHALOSPORIN | CEF GEN 3 | INTRAVENOUS
m-ceftazidime-avibactam,CefTAZidime-Avibactam,CefTAZidime-Avibactam,ceftazidime-avibactam,Miscellaneous White Label,,CEFTAZIDIME_AVIBACTAM,CEFTAZIDIME_AVIBACTAM | ANTIBIOTIC | CEPHALOSPORIN | CEF GEN 3 | INTRAVENOUS
m-ceftolozane-tazobactam,Ceftolozane-Tazobactam,Ceftolozane-Tazobactam,ceftolozane-tazobactam,Miscellaneous White Label,,CEFTOLOZANE_TAZOBACTAM,CEFTOLOZANE_TAZOBACTAM | ANTIBIOTIC | CEPHALOSPORIN | CEF GEN 5 | INTRAVENOUS
m-ceftriaxone,CefTRIAXone,CefTRIAXone,ceftriaxone,Miscellaneous White Label,,CEFTRIAXONE,CEFTRIAXONE | ANTIBIOTIC | CEPHALOSPORIN | CEF GEN 3 | INTRAVENOUS
