group name,code,code type,concept name,medication category
NSAID,16689,RXNORM,aceclofenac,NSAID
NSAID,16695,RXNORM,acemetacin,NSAID
NSAID,17387,RXNORM,alminoprofen,NSAID
NSAID,1029,RXNORM,apazone,NSAID
NSAID,1425,RXNORM,benzydamine,NSAID
NSAID,1796,RXNORM,bufexamac,NSAID
NSAID,19847,RXNORM,bumadizone,NSAID
NSAID,140587,RXNORM,celecoxib,NSAID
NSAID,183877,RXNORM,clofezone,NSAID
NSAID,237162,RXNORM,dexketoprofen,NSAID
NSAID,22759,RXNORM,diacetylrhein,NSAID
NSAID,3355,RXNORM,diclofenac,NSAID
NSAID,23687,RXNORM,droxicam,NSAID
NSAID,24605,RXNORM,etodolac,NSAID
NSAID,307296,RXNORM,etoricoxib,NSAID
NSAID,24830,RXNORM,fenbufen,NSAID
NSAID,4331,RXNORM,fenoprofen,NSAID
NSAID,8673,RXNORM,feprazone,NSAID
NSAID,4453,RXNORM,flufenamic acid,NSAID
NSAID,4502,RXNORM,flurbiprofen,NSAID
NSAID,5640,RXNORM,ibuprofen,NSAID
NSAID,5781,RXNORM,indomethacin,NSAID
NSAID,28198,RXNORM,kebuzone,NSAID
NSAID,6142,RXNORM,ketoprofen,NSAID
NSAID,35827,RXNORM,ketorolac,NSAID
NSAID,28876,RXNORM,lonazolac,NSAID
NSAID,20890,RXNORM,lornoxicam,NSAID
NSAID,28908,RXNORM,loxoprofen,NSAID
NSAID,6678,RXNORM,meclofenamic acid,NSAID
NSAID,6693,RXNORM,mefenamic acid,NSAID
NSAID,41493,RXNORM,meloxicam,NSAID
NSAID,30202,RXNORM,mofebutazone,NSAID
NSAID,30225,RXNORM,morniflumate,NSAID
NSAID,31448,RXNORM,nabumetone,NSAID
NSAID,7258,RXNORM,naproxen,NSAID
NSAID,7418,RXNORM,niflumic acid,NSAID
NSAID,53694,RXNORM,nimesulide,NSAID
NSAID,32613,RXNORM,oxaprozin,NSAID
NSAID,7816,RXNORM,oxyphenbutazone,NSAID
NSAID,279950,RXNORM,parecoxib,NSAID
NSAID,8160,RXNORM,phenylbutazone,NSAID
NSAID,8356,RXNORM,piroxicam,NSAID
NSAID,34769,RXNORM,proglumetacin,NSAID
NSAID,2669456,RXNORM,proquazone,NSAID
NSAID,232158,RXNORM,rofecoxib,NSAID
NSAID,10237,RXNORM,sulindac,NSAID
NSAID,10255,RXNORM,suprofen,NSAID
NSAID,37790,RXNORM,tenoxicam,NSAID
NSAID,38253,RXNORM,tiaprofenic acid,NSAID
NSAID,38377,RXNORM,tolfenamic acid,NSAID
NSAID,10636,RXNORM,tolmetin,NSAID
NSAID,278567,RXNORM,valdecoxib,NSAID
NSAID,39994,RXNORM,zomepirac,NSAID
NSAID,372665008,SNOMED,Nonsteroidal anti-inflammatory agent,NSAID
SULFONAMIDE,9793,RXNORM,silver sulfadiazine,SULFONAMIDE
SULFONAMIDE,10169,RXNORM,sulfacetamide,SULFONAMIDE
SULFONAMIDE,10171,RXNORM,sulfadiazine,SULFONAMIDE
SULFONAMIDE,10173,RXNORM,sulfadoxine,SULFONAMIDE
SULFONAMIDE,10179,RXNORM,sulfamethizole,SULFONAMIDE
SULFONAMIDE,10180,RXNORM,sulfamethoxazole,SULFONAMIDE
SULFONAMIDE,10188,RXNORM,sulfapyridine,SULFONAMIDE
SULFONAMIDE,9524,RXNORM,sulfasalazine,SULFONAMIDE
SULFONAMIDE,10207,RXNORM,sulfisoxazole,SULFONAMIDE
SULFONAMIDE,387406002,SNOMED,Sulfonamide,SULFONAMIDE
